countrycode,country,currency_unit,year,rgdpe,rgdpo,pop,emp,avh,hc,cgdpe,cgdpo,ck,ctfp,rgdpna,rkna,rtfpna,labsh,xr,pl_gdpe,pl_gdpo,i_cig,i_xm,i_xr,i_outlier,cor_exp,statcap,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,pl_c,pl_i,pl_g,pl_x,pl_m,pl_k,phi_NR,workers,gdp_per_worker
CHL,Chile,Chilean Peso,2005,186444.19,182733.55,16.301726,6.367655,2189.2,2.8750691,186444.19,182733.55,463376.6,0.66237044,182733.54584722876,463376.6,1.0,0.44669574,559.7675,0.6600154,0.67341787,1,1,0,0,0.7409018404527616,89.44444444444446,0.5962934,0.25679734,0.081045985,0.3082062,-0.25747243,0.015129496,0.6656306866274252,0.5767031419867922,0.8826789470693712,0.73271006,0.6957677,0.5194072,0.14867423,9.019814359785913,20259.125031408872
CHN,China,Yuan Renminbi,2005,6.864127e6,6.771131e6,1284.823106,755.125,,2.459823,6.864127e6,6.771131e6,2.2065822e7,0.34033632,6.771131e6,2.2065822e7,1.0,0.45121285,8.194316666666667,0.3326964,0.33726576,1,1,0,0,0.5362334284761586,60.0,0.35787016,0.3662419,0.23590004,0.16727847,-0.13561995,0.008329373,0.3674326305864639,0.38313742089035757,0.20168898959088338,0.6727085,0.7186678,0.3057615,0.19151169,705.0943682023716,9603.155698524306
CIV,Cote dIvoire,CFA Franc BCEAO,2005,26566.867,25293.22,18.020946,6.656663,,1.754591,26566.867,25293.22,46885.99,0.30676693,25293.220703125,46885.99,1.0,0.50368613,527.46814284,0.64309186,0.675475,1,1,0,0,0.3499468128250222,80.0,0.82665616,0.07649978,0.07617611,0.39939737,-0.3654007,-0.013328666,0.5829504792075809,1.000184470155563,0.9371308923607854,0.71747214,0.63458776,1.1438789,0.113239795,8.944045449476837,2827.9396438671356
CMR,Cameroon,CFA Franc BEAC,2005,30301.744,30480.664,17.553589,7.2676673,,2.0395136,30301.744,30480.664,66803.07,0.27761033,30480.665435936273,66803.07,1.0,0.50265956,527.46814284,0.5474225,0.54420924,1,1,0,0,0.44682113176517757,50.0,0.7363533,0.16564672,0.10223505,0.1310863,-0.14291312,0.0075917235,0.531988358181426,0.626445975154896,0.530549812914819,0.61082613,0.6278929,0.55480325,0.16423497,8.730109690006493,3491.441132451261
COL,Colombia,Colombian Peso,2005,276626.9,275496.56,43.040558,17.157429,1956.0,2.3255794,276626.9,275496.56,926618.5,0.46853286,275496.5625,926618.5,1.0,0.476308,2320.834176666667,0.52983373,0.53200763,1,1,0,0,0.7344612928427351,77.22222222222223,0.6940469,0.20935847,0.120120905,0.116227105,-0.120502934,-0.019250438,0.5060832200897674,0.5138428143256476,0.6949326747658018,0.6617842,0.63871527,0.41143382,0.11616092,22.539996409443138,12222.564613390117
CRI,Costa Rica,Costa Rican Colon,2005,36514.39,35526.26,4.309413,1.8056227,,2.5688097,36514.39,35526.26,61511.863,0.59639186,35526.26057403738,61511.863,1.0,0.6051793,477.7867414874552,0.54676867,0.56197655,0,1,0,0,,76.66666666666667,0.80451137,0.13843435,0.14113398,0.28115588,-0.41179928,0.04656373,0.47030743450684326,0.9883487799565445,0.5494901700290011,0.7158981,0.62703115,0.6677756,0.06792888,1.7014454148230553,20880.04787532053
CYP,Cyprus,Euro,2005,18043.697,15769.49,0.758,0.30038992,1848.84,2.7915492,18043.697,15769.49,62547.098,0.76256883,15769.49055611651,62547.098,1.0,0.55762005,0.7929115374365967,0.93673843,1.071831,1,1,0,0,0.8422242018347348,,0.7598033,0.2610969,0.15229402,0.13524587,-0.5692143,0.26077417,0.9138169535073264,0.8115063740338105,1.2657963789190487,0.7250579,0.7110015,0.821694,0.0055512576,0.3353240032196045,47027.62129452309
DEU,Germany,Euro,2005,2.507179e6,2.61455e6,82.540739,38.89914,1431.01,3.3247113,2.507179e6,2.61455e6,8.2314775e6,0.8697497,2.61455e6,8.2314775e6,1.0,0.62185663,0.8041200000000001,1.1033332,1.0580231,1,1,0,0,0.9404459836988088,,0.58677477,0.17671363,0.14544192,0.571892,-0.48082238,-1.683364e-16,1.0594481739578216,1.0339281343100821,1.3647118284666389,0.76439303,0.7944312,1.1846086,0.0055675074,31.212233220256984,83766.83531581254
DNK,Denmark,Danish Krone,2005,172813.33,180487.1,5.4194439999999995,2.760434,1555.91,2.9067366,172813.33,180487.1,594027.3,0.9153251,180487.09375,594027.3,1.0,0.6425401,5.99691,1.4910628,1.4276674,1,1,0,0,0.8421902885542961,,0.48133245,0.24286568,0.18631594,0.64296234,-0.57090104,0.01742461,1.4302714170708435,1.2242092562361855,1.995960297374865,0.71019304,0.7207383,1.4708308,0.03880569,1.937233925271511,93167.4236113246
DOM,Dominican Republic,Dominican Peso,2005,61053.258,60890.875,9.264267,3.3151414,,2.3013062,61053.258,60890.875,169993.05,0.58318603,60890.875,169993.05,1.0,0.38263923,30.5106317288727,0.54757166,0.549032,0,1,0,0,,72.22222222222221,0.7722329,0.13250269,0.15281306,0.15130667,-0.17268506,-0.036170237,0.5848715064769596,0.6840822402539294,0.24071198777297662,0.67114425,0.64708394,0.4323552,0.035975266,5.71939501511246,10646.383898840166
