countrycode,country,currency_unit,year,rgdpe,rgdpo,pop,emp,avh,hc,cgdpe,cgdpo,ck,ctfp,rgdpna,rkna,rtfpna,labsh,xr,pl_gdpe,pl_gdpo,i_cig,i_xm,i_xr,i_outlier,cor_exp,statcap,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,pl_c,pl_i,pl_g,pl_x,pl_m,pl_k,phi_NR,QMPK,VMPK,log_QMPK,log_VMPK,log_phi,log_Y_div_K,log_PY_div_PK,open
TUR,turkey,New Turkish Lira,1978,300747.28,304909.53,42.206204,15.460586,2189.31,1.5566106,296479.66,301709.8,841947.1,0.86790186,262541.79023202806,338743.2,0.98346525,0.34262788,2.428216666566667e-5,0.3047309,0.29944837,0,0,0,0,,,0.6099196,0.22676042,0.110471494,0.021142473,-0.028686024,0.06039206,0.3484043997773725,0.20572870651347033,0.2668247449576871,0.35870832,0.5175432,0.21600892,0.019327547,0.23106663,0.32032254,-1.4650491,-1.1384269,-0.4493471,-1.0157021,0.3266223,0.0
TUR,turkey,New Turkish Lira,1979,298463.44,301608.12,43.132611999999995,15.705907,2172.0,1.5830762,294233.97,298822.84,891891.9,0.834464,260902.2323916512,351436.28,0.9433762,0.34262788,3.1077499999e-5,0.41911858,0.4126824,0,0,0,0,,,0.60920715,0.2330595,0.10837851,0.017455349,-0.024401503,0.05630099,0.4854944970656685,0.2760603162803558,0.3536480886640961,0.43350643,0.6783221,0.28320932,0.018468207,0.21605602,0.31482905,-1.5322175,-1.1557255,-0.4480012,-1.0842164,0.37649202,0.0
TUR,turkey,New Turkish Lira,1980,292715.44,296524.62,44.105216,15.939294,2163.91,1.6099918,290757.2,295894.06,918129.4,0.8233699,254521.11374361752,358371.53,0.89876956,0.34262788,7.603808333283333e-5,0.31805462,0.312533,0,0,0,0,,,0.65706515,0.23683797,0.08975784,0.02088347,-0.05392712,0.04938269,0.3696668456630382,0.20579773609845986,0.23643597541533695,0.4708682,0.4745661,0.21028975,0.029700937,0.2027165,0.3012776,-1.5959468,-1.1997231,-0.46573883,-1.130208,0.39622372,0.0
TUR,turkey,New Turkish Lira,1981,325803.16,329757.84,45.130008,16.018326,2155.84,1.6548574,323888.72,329426.0,973117.44,0.8807347,266878.521933686,372825.88,0.9080787,0.34262788,0.0001112185833326667,0.29484072,0.28988478,0,0,0,0,,,0.54499257,0.29133344,0.12126211,0.030028591,-0.057245478,0.06962877,0.3651154498750071,0.19856659878558766,0.21030211798300724,0.47531173,0.47005355,0.19913259,0.032122776,0.21187665,0.30843678,-1.551751,-1.1762384,-0.4696048,-1.0821463,0.37551263,0.0
TUR,turkey,New Turkish Lira,1982,325800.62,329754.78,46.198026999999996,16.142576,2147.8,1.7009733,325088.84,330474.22,1.0119723e6,0.8762998,276386.94535923214,385265.28,0.90932184,0.34262788,0.0001625534166656666,0.26689392,0.26254466,0,0,0,0,,,0.5819462,0.25497195,0.108679086,0.03678623,-0.05622885,0.07384542,0.3178427140584089,0.18561753093048328,0.18475991037242118,0.47277236,0.47322184,0.18603896,0.03626815,0.20238893,0.2856183,-1.5975641,-1.253099,-0.47625682,-1.1213073,0.3444651,0.0
TUR,turkey,New Turkish Lira,1983,341843.4,345829.8,47.285731999999996,16.275763,2139.79,1.7386335,340126.4,346208.75,1.0015843e6,0.8689146,290120.7724745444,397756.16,0.92509955,0.34262788,0.00022545708333225,0.24376793,0.23948532,0,0,0,0,,,0.59511137,0.23453695,0.120455846,0.038022928,-0.055737734,0.06761063,0.2871400323362725,0.17272382328271685,0.16781687478240598,0.43077245,0.44297844,0.17728436,0.038090244,0.21382736,0.28884956,-1.5425863,-1.2418493,-0.47919473,-1.0633916,0.3007371,0.0
TUR,turkey,New Turkish Lira,1984,360277.53,366181.22,48.360679,16.496473,2068.57,1.7750282,356750.6,365447.03,1.0107612e6,0.85895973,309593.05205209967,409797.88,0.9567513,0.34262788,0.0003666778333331667,0.22604385,0.22066475,0,1,0,0,,,0.6069953,0.22416374,0.11398106,0.0474898,-0.068214156,0.07558428,0.2640823255598466,0.1670269723728885,0.13954059308165281,0.41103983,0.42773142,0.17509505,0.0409376,0.22332352,0.281445,-1.4991338,-1.2678182,-0.48380318,-1.0153307,0.23131558,0.0
TUR,turkey,New Turkish Lira,1985,383183.72,387428.56,49.399629999999995,16.740675,2098.79,1.8121849,382395.22,389553.62,1.03972625e6,0.8706567,322724.69588971016,425036.97,0.96193737,0.34262788,0.0005219830833331667,0.23634966,0.2320065,1,1,0,0,0.5030862025937688,,0.5700496,0.24675716,0.12342159,0.048280366,-0.0681053,0.07959661,0.2778637728542009,0.19077234189355485,0.13573048554571168,0.4231227,0.42744955,0.2033644,0.03673362,0.23126577,0.26383752,-1.4641877,-1.3324218,-0.4770065,-0.98718125,0.13176593,0.0
TUR,turkey,New Turkish Lira,1986,407540.06,410057.2,50.393538,17.008808,2081.52,1.8278843,406997.66,414898.62,985603.0,0.93733954,345364.7631444972,442871.06,0.9935967,0.34262788,0.00067451175000025,0.2501149,0.24535194,2,1,0,0,,,0.5745382,0.23401295,0.12850799,0.038422465,-0.056068815,0.0805872,0.2763619269807655,0.24693402015881402,0.13856106629272882,0.46775374,0.47735983,0.26351237,0.0346401,0.2590858,0.24123044,-1.350596,-1.4220026,-0.47363895,-0.876957,-0.07140664,0.0
TUR,turkey,New Turkish Lira,1987,449732.6,452862.03,51.349154,17.348278,2038.36,1.8437197,449010.34,458243.38,967811.6,1.0232394,378120.1179402706,477376.6,1.0254583,0.34262788,0.0008572141666666666,0.2609642,0.2557061,2,1,0,0,,,0.5237454,0.28273726,0.1284,0.044755295,-0.05943637,0.079798386,0.3203820800922283,0.21229590243107804,0.12576570989848093,0.49684522,0.51998806,0.23009956,0.030808184,0.29318413,0.32581103,-1.2269545,-1.1214378,-0.4675045,-0.75944996,0.10551666,0.0
TUR,turkey,New Turkish Lira,1988,460838.8,459741.53,52.278499,17.557442,2030.81,1.8596922,458485.9,465050.88,954492.3,1.0193406,386137.59627777874,509187.66,0.9967278,0.34583008,0.001422345833333333,0.2663743,0.26261395,2,1,0,0,,,0.52838296,0.23445612,0.12607582,0.046290495,-0.05545209,0.12024671,0.3032989841939542,0.2575625462904833,0.12800976256901722,0.54172796,0.5558928,0.2766358,0.037510995,0.29702044,0.28196535,-1.2139543,-1.2659711,-0.4834392,-0.7305151,-0.05201673,0.0
TUR,turkey,New Turkish Lira,1989,454514.78,454071.72,53.200801999999996,17.958546,2064.26,1.8758032,449785.94,456826.47,937811.9,0.97791564,387109.27720086894,540566.6,0.9509379,0.37190825,0.002121679166666667,0.3202125,0.31527746,2,1,0,0,,,0.54012847,0.23629062,0.13003714,0.04494436,-0.05944776,0.10804717,0.36805508109273744,0.2864322901401662,0.18287350072945466,0.56630695,0.5803131,0.30126813,0.032585517,0.28833348,0.3017413,-1.2436376,-1.1981852,-0.5183434,-0.72529423,0.04545237,0.0
TUR,turkey,New Turkish Lira,1990,488299.5,488262.9,54.130268,18.219938,2063.18,1.8920537,481805.6,489782.3,975100.5,0.9991464,422937.4315990787,580233.5,0.98612934,0.4088084,0.002608641666666667,0.42038903,0.41354242,2,1,0,0,,,0.59605706,0.23497845,0.12340919,0.04522837,-0.07554604,0.075872995,0.4572987515812136,0.39182004241680013,0.2965149019858927,0.5850194,0.6027027,0.37587407,0.025761902,0.2831281,0.3115019,-1.2618558,-1.1663499,-0.5701693,-0.6916865,0.0955059,1.0
TUR,turkey,New Turkish Lira,1991,476199.84,471912.06,55.06888,18.90197,2067.49,1.9089646,469138.66,474601.28,952868.3,0.9471488,426856.01532309037,617665.75,0.9416134,0.43315157,0.004171815833333334,0.43278623,0.42780486,2,1,0,0,,,0.63856995,0.20436627,0.1318747,0.047776118,-0.07313576,0.0505488,0.4545873729607952,0.43503327532013375,0.3237373608850154,0.5995009,0.6063612,0.42633426,0.02030757,0.27067667,0.27161035,-1.3068303,-1.3033868,-0.60414624,-0.7026841,0.0034435042,1.0
TUR,turkey,New Turkish Lira,1992,497094.72,491749.28,56.012108999999995,19.035915,2097.71,1.9260267,487308.75,494050.38,936795.6,0.9578645,452400.2860401145,657665.4,0.9563944,0.43045563,0.006872423333333334,0.4388649,0.4328763,2,1,0,0,,,0.63130826,0.21508591,0.13037585,0.05213123,-0.07675678,0.04785551,0.4582295634530687,0.43914560545061976,0.3446339036549195,0.5713201,0.6031115,0.45137063,0.023265798,0.28675637,0.2750069,-1.2491223,-1.2909591,-0.6046262,-0.64449614,-0.041836806,1.0
AUS,australia,Australian Dollar,1970,213211.1,242139.28,12.728361999999999,5.450745,1824.01,2.9644759,214117.97,213642.38,601816.4,0.83276904,240100.49173387844,736667.56,0.7971454,0.80187166,0.892856999892857,0.21088341,0.21135285,0,0,0,0,,,0.5916242,0.2956642,0.108921774,0.12514728,-0.124287724,0.0029303355,0.19149596704522362,0.22835689385758393,0.26875800649323506,0.17284079,0.16881174,0.23210725,0.01059185,0.07545483,0.06870787,-2.5842211,-2.6778915,-1.6737819,-0.91043925,-0.09367053,1.0
AUS,australia,Australian Dollar,1971,220372.19,252322.73,12.987846999999999,5.5712843,1820.19,2.992862,221126.03,222659.34,629689.9,0.8269719,249459.570509003,763888.9,0.8018392,0.80275786,0.8826702592955477,0.22783937,0.22627039,0,0,0,0,,,0.5842194,0.28312066,0.11007404,0.12394026,-0.10841869,0.0070643052,0.20824872582955611,0.24209669506757744,0.2951457621139726,0.18381515,0.19188173,0.25120452,0.010485599,0.07483513,0.067407124,-2.5924678,-2.6970046,-1.6779494,-0.9145185,-0.10453675,1.0
AUS,australia,Australian Dollar,1972,231515.38,261268.73,13.236894999999999,5.657101,1816.58,3.0215197,231784.83,229797.0,659113.75,0.81821865,256071.99054950278,791317.06,0.80123967,0.796904,0.8386978072622071,0.25591904,0.25813282,0,0,0,0,,,0.5880198,0.27323633,0.11211684,0.11621351,-0.09505851,0.0054720575,0.23580860758545785,0.2667443870571495,0.33501007026327917,0.23611808,0.20855014,0.28117198,0.01058482,0.07631026,0.070057414,-2.5729477,-2.65844,-1.6476011,-0.9253467,-0.08549227,1.0
AUS,australia,Australian Dollar,1973,251225.83,276598.38,13.472175,5.824467,1812.94,3.050452,250913.39,247062.03,693428.25,0.83119065,266610.10128949035,819118.06,0.8031693,0.83618456,0.703497101577426,0.34154248,0.34686667,0,0,0,0,,,0.5768515,0.30652866,0.10779915,0.120940275,-0.10366586,-0.0084537575,0.31766066732464243,0.34380717733342164,0.4628984130933167,0.3211536,0.2659628,0.38911512,0.012842323,0.060220964,0.05368243,-2.8097348,-2.9246695,-1.8906535,-0.9190812,-0.11493476,1.0
AUS,australia,Australian Dollar,1974,244552.33,254367.75,13.690285,5.9433804,1809.31,3.0796614,247048.58,242212.33,716743.4,0.83030254,269904.95626674,841506.2,0.78975224,0.7231035,0.6966658686380962,0.41332793,0.42158085,0,0,0,0,,,0.6153597,0.26775798,0.12110631,0.13747141,-0.15797418,0.016278729,0.3770544645630131,0.4202801751502892,0.5822679681165068,0.33036768,0.28974295,0.46316847,0.019006867,0.09152341,0.083305575,-2.3911605,-2.4852397,-1.3552237,-1.0359368,-0.09407927,1.0
AUS,australia,Australian Dollar,1975,245592.12,261585.73,13.889695999999999,5.9317217,1805.68,3.1091504,249630.1,247415.19,748291.6,0.84547424,276996.8114561408,866996.4,0.79939616,0.7173084,0.763871249,0.43653613,0.44044408,0,0,0,0,,,0.60470307,0.26544923,0.13018195,0.1438817,-0.13398552,-0.010230396,0.4009542565145939,0.4363526649688638,0.6021901938262842,0.3336305,0.29656464,0.48139715,0.019142263,0.09213085,0.08429316,-2.3845456,-2.4734545,-1.3335147,-1.0510308,-0.088909104,1.0
AUS,australia,Australian Dollar,1976,255755.97,274475.3,14.067993999999999,6.025389,1802.11,3.1381712,258747.39,257797.72,767895.44,0.84532773,286895.25477377884,895047.0,0.8059482,0.70445883,0.8182840823333333,0.4536982,0.45536947,0,0,0,0,,,0.60903764,0.2701332,0.12581897,0.14593194,-0.13226013,-0.018661613,0.41802628839709516,0.45241667842084954,0.6291224026333588,0.34888908,0.32518256,0.49606648,0.020326952,0.09837213,0.09030174,-2.3189976,-2.4045985,-1.2902055,-1.0287923,-0.08560082,1.0
AUS,australia,Australian Dollar,1977,257570.6,279487.6,14.227905,6.080402,1798.26,3.1674628,260050.6,261944.12,806590.5,0.8354656,289440.6769130096,924509.0,0.7949888,0.7036614,0.9018249989999999,0.44726652,0.44403332,0,0,0,0,,,0.6127573,0.2569477,0.12775123,0.15301232,-0.13584532,-0.014623199,0.41338087853804256,0.44358829203186123,0.6171966885443366,0.33197743,0.34155673,0.47826242,0.022838403,0.094769165,0.087986566,-2.356311,-2.430571,-1.2964529,-1.0598582,-0.07425995,1.0
AUS,australia,Australian Dollar,1978,270854.5,294495.6,14.379565,6.085626,1796.06,3.1970277,272915.34,273873.56,855167.75,0.84665984,301401.32220664405,958833.44,0.81408376,0.79395366,0.873659249,0.49736825,0.49562806,0,0,0,0,,,0.5912844,0.28688538,0.12774275,0.1361423,-0.12889722,-0.013157597,0.46959985770691565,0.47746558779471915,0.670597398154002,0.38947845,0.39709222,0.51050425,0.021518366,0.06354622,0.06169447,-2.755988,-2.785561,-1.6899542,-1.0660336,-0.029573182,1.0
AUS,australia,Australian Dollar,1979,280525.56,298944.25,14.536838999999999,6.15809,1816.35,3.2268689,282617.75,283433.7,899785.3,0.8597878,310615.93960137607,993514.9,0.81892973,0.7823111,0.8946409156666667,0.531871,0.53033984,0,0,0,0,,,0.5836909,0.28093466,0.12566674,0.1515466,-0.1313053,-0.010533628,0.503407584518231,0.5055660264062167,0.7228824306088187,0.44149482,0.4393465,0.5401883,0.030870887,0.062068336,0.060936734,-2.7795193,-2.797919,-1.6776202,-1.101899,-0.018399814,1.0
AUS,australia,Australian Dollar,1980,289871.7,301442.88,14.709918,6.3270392,1814.78,3.2569883,294251.0,294267.66,943714.9,0.87687474,321179.9146059754,1.03691156e6,0.8153857,0.77218693,0.8782443323333333,0.5895151,0.5894817,0,0,0,0,,,0.58718765,0.30289006,0.12731189,0.1616867,-0.14892969,-0.030146662,0.5582985721648969,0.5532292749761226,0.8198200268824727,0.4647764,0.45432237,0.60489297,0.033146385,0.062180735,0.060596514,-2.77771,-2.8035178,-1.6364665,-1.1412436,-0.025807824,1.0
AUS,australia,Australian Dollar,1981,304013.75,314695.0,14.90161,6.4061923,1814.78,3.25701,308928.97,306967.72,1.00129494e6,0.88886815,331579.8723227927,1.0845109e6,0.8252315,0.7700725,0.8702145823333334,0.65377027,0.65794724,0,0,0,0,,,0.59205616,0.3171454,0.12518795,0.14665012,-0.15913586,-0.021903725,0.6171238252096588,0.6141762690915685,0.9273894943905169,0.49584422,0.4814123,0.6695607,0.032554723,0.062031895,0.06095596,-2.7801065,-2.7976036,-1.6226611,-1.1574454,-0.017497016,1.0
AUS,australia,Australian Dollar,1982,296616.62,310651.56,15.109658999999999,6.395645,1804.15,3.2570317,302601.44,301398.44,1.0378984e6,0.8854611,323905.7557617662,1.1203522e6,0.80088615,0.7515145,0.9858628323333334,0.6343449,0.6368768,0,0,0,0,,,0.617879,0.2750359,0.13149697,0.14903009,-0.16423106,-0.009210928,0.6020860075659985,0.5803350158161111,0.898888846941711,0.48006135,0.47878247,0.65356195,0.03324108,0.06442444,0.06277972,-2.7422621,-2.7681231,-1.535981,-1.2062812,-0.025861036,1.0
